date,region,product,category,sales_rep,revenue,cost,quantity,customer_id,profit
2024-01-01,North,USB-C Hub,Peripherals,Bob Smith,263.29,113.86,5,CUST-1163,149.43
2024-01-01,North,Keyboard Mech,Displays,Carol Davis,129.57,65.26,4,CUST-1167,64.31
2024-01-01,Central,"Monitor 27""",Peripherals,David Wilson,296.28,134.62,23,CUST-1131,161.66
2024-01-01,East,USB-C Hub,Accessories,Emma Brown,359.35,212.12,22,CUST-1219,147.23
2024-01-02,South,Wireless Mouse,Accessories,David Wilson,107.45,63.43,24,CUST-1181,44.02
2024-01-02,Central,USB-C Hub,Electronics,Frank Miller,263.75,133.7,21,CUST-1087,130.05
2024-01-03,North,Laptop Pro,Electronics,Emma Brown,448.0,304.26,24,CUST-1056,143.74
2024-01-03,Central,Laptop Pro,Displays,Alice Johnson,209.65,124.41,18,CUST-1215,85.24
2024-01-03,South,"Monitor 27""",Electronics,Alice Johnson,88.57,53.72,4,CUST-1121,34.85
2024-01-04,South,Wireless Mouse,Electronics,Carol Davis,527.9,288.73,10,CUST-1110,239.17
2024-01-04,North,Wireless Mouse,Electronics,Frank Miller,187.83,124.73,2,CUST-1289,63.1
2024-01-04,North,USB-C Hub,Peripherals,David Wilson,119.48,59.07,11,CUST-1190,60.41
2024-01-05,North,"Monitor 27""",Displays,Emma Brown,331.76,191.46,5,CUST-1019,140.3
2024-01-05,West,"Monitor 27""",Accessories,Carol Davis,270.23,110.55,9,CUST-1024,159.68
2024-01-05,Central,Wireless Mouse,Peripherals,Frank Miller,259.74,165.12,25,CUST-1094,94.62
2024-01-05,West,USB-C Hub,Peripherals,Emma Brown,74.71,50.12,11,CUST-1296,24.59
2024-01-05,West,"Monitor 27""",Accessories,David Wilson,70.65,44.66,22,CUST-1076,25.99
2024-01-05,East,Keyboard Mech,Electronics,Carol Davis,172.56,93.82,6,CUST-1061,78.74
2024-01-06,East,"Monitor 27""",Peripherals,Frank Miller,171.08,116.24,7,CUST-1045,54.84
2024-01-06,South,Keyboard Mech,Electronics,Emma Brown,394.24,272.21,5,CUST-1294,122.03
2024-01-07,South,Wireless Mouse,Peripherals,Carol Davis,472.28,298.08,5,CUST-1155,174.2
2024-01-07,West,USB-C Hub,Accessories,Emma Brown,454.44,200.63,16,CUST-1067,253.81
2024-01-08,South,Wireless Mouse,Accessories,David Wilson,639.37,406.11,18,CUST-1131,233.26
2024-01-09,West,Wireless Mouse,Displays,Emma Brown,170.1,84.19,14,CUST-1071,85.91
2024-01-10,South,Laptop Pro,Electronics,Carol Davis,205.57,89.14,3,CUST-1192,116.43
2024-01-10,East,"Monitor 27""",Electronics,David Wilson,148.58,82.08,1,CUST-1173,66.5
2024-01-11,East,"Monitor 27""",Accessories,David Wilson,139.06,66.69,19,CUST-1283,72.37
2024-01-12,South,Wireless Mouse,Electronics,Alice Johnson,52.92,34.04,18,CUST-1293,18.88
2024-01-12,East,USB-C Hub,Electronics,Frank Miller,644.06,360.71,22,CUST-1160,283.35
2024-01-12,North,USB-C Hub,Peripherals,Emma Brown,189.11,95.96,15,CUST-1279,93.15
2024-01-12,South,"Monitor 27""",Electronics,David Wilson,15914.65,7957.33,51,CUST-1020,7957.32
2024-01-12,East,Laptop Pro,Electronics,Emma Brown,503.54,217.77,2,CUST-1139,285.77
2024-01-12,South,Wireless Mouse,Peripherals,Alice Johnson,169.86,,24,CUST-1021,
2024-01-13,East,USB-C Hub,Peripherals,Bob Smith,299.93,163.84,1,CUST-1286,136.09
2024-01-13,South,"Monitor 27""",Electronics,David Wilson,233.34,144.91,23,CUST-1288,88.43
2024-01-14,East,USB-C Hub,Electronics,Emma Brown,529.98,233.9,21,CUST-1103,296.08
2024-01-14,North,Wireless Mouse,Displays,Carol Davis,70.93,48.35,10,CUST-1236,22.58
2024-01-14,North,USB-C Hub,Peripherals,Carol Davis,104.17,44.43,4,CUST-1197,59.74
2024-01-14,East,Wireless Mouse,Electronics,Carol Davis,69.91,37.93,15,CUST-1096,31.98
2024-01-14,South,Laptop Pro,Electronics,Emma Brown,67.01,45.84,22,CUST-1008,21.17
2024-01-15,West,Wireless Mouse,Peripherals,Alice Johnson,1120.53,560.26,177,CUST-1155,560.27
2024-01-15,West,USB-C Hub,Accessories,Bob Smith,1054.23,596.32,3,CUST-1198,457.91
2024-01-17,North,USB-C Hub,Electronics,Emma Brown,351.49,227.3,16,CUST-1228,124.19
2024-01-17,Central,"Monitor 27""",Peripherals,Frank Miller,169.12,107.22,3,CUST-1146,61.9
2024-01-17,North,Wireless Mouse,Peripherals,Emma Brown,419.62,182.49,16,CUST-1294,237.13
2024-01-18,North,Wireless Mouse,Accessories,Bob Smith,155.02,85.1,20,CUST-1029,69.92
2024-01-18,East,USB-C Hub,Displays,Emma Brown,164.02,85.98,5,CUST-1011,78.04
2024-01-20,South,Wireless Mouse,Electronics,Frank Miller,50.22,34.56,7,CUST-1250,15.66
2024-01-20,Central,Laptop Pro,Displays,Bob Smith,310.36,208.33,17,CUST-1290,102.03
2024-01-21,South,Wireless Mouse,Peripherals,Alice Johnson,294.25,166.68,14,CUST-1190,127.57
2024-01-22,South,Laptop Pro,Peripherals,Frank Miller,272.26,137.57,8,CUST-1047,134.69
2024-01-22,North,Laptop Pro,Peripherals,Alice Johnson,120.17,79.4,6,CUST-1295,40.77
2024-01-23,South,Laptop Pro,Accessories,Bob Smith,667.0,270.02,3,CUST-1017,396.98
2024-01-24,North,Laptop Pro,Displays,David Wilson,125.01,66.06,25,CUST-1007,58.95
2024-01-25,South,"Monitor 27""",Electronics,Frank Miller,136.5,65.6,4,CUST-1272,70.9
2024-01-25,East,"Monitor 27""",Peripherals,David Wilson,632.55,328.4,18,CUST-1038,304.15
2024-01-26,South,"Monitor 27""",Accessories,David Wilson,172.25,,23,CUST-1129,
2024-01-26,South,Wireless Mouse,Electronics,David Wilson,52.4,26.64,6,CUST-1085,25.76
2024-01-27,North,Wireless Mouse,Peripherals,David Wilson,,13.91,5,CUST-1171,
2024-01-27,West,USB-C Hub,Accessories,Frank Miller,195.15,132.33,25,CUST-1068,62.82
2024-01-28,South,"Monitor 27""",Displays,Carol Davis,178.36,85.18,24,CUST-1227,93.18
2024-01-28,East,Wireless Mouse,Displays,David Wilson,242.46,143.01,15,CUST-1292,99.45
2024-01-29,West,Laptop Pro,Electronics,Bob Smith,458.16,215.81,24,CUST-1139,242.35
2024-01-29,North,Laptop Pro,Peripherals,Alice Johnson,1402.24,623.05,4,CUST-1099,779.19
2024-01-30,North,Laptop Pro,Displays,Bob Smith,298.22,177.31,7,CUST-1193,120.91
2024-01-31,South,USB-C Hub,Accessories,Frank Miller,386.19,223.83,20,CUST-1000,162.36
2024-02-02,Central,Wireless Mouse,Electronics,Alice Johnson,311.03,163.52,1,CUST-1015,147.51
2024-02-03,South,"Monitor 27""",Displays,Emma Brown,164.26,68.26,1,CUST-1017,96.0
2024-02-03,East,Laptop Pro,Peripherals,Alice Johnson,255.25,104.72,16,CUST-1065,150.53
2024-02-03,Central,Keyboard Mech,Displays,David Wilson,155.78,98.46,13,CUST-1280,57.32
